5284859;Richard F. Vaz;;;;;;homepages/41/397;09/06/2009;;;;;Home Page;;
6024953;Xiaotian Qiao;;;;;;homepages/166/2445;04/08/2015;;;;;Home Page;;
3136723;Teh-Yuan Chang;;;;;;homepages/143/8493;02/04/2014;;;;;Home Page;;
4881551;Dongsheng Qi;;;;;;homepages/256/4662;16/01/2020;;;;;Home Page;;
5289921;Xinze Lyu;;;;;;homepages/211/3937;29/12/2017;;;;;Home Page;;
5302165;Paul Amoroso;;;;;;homepages/131/6504;01/07/2013;;;;;Home Page;;
5556154;Yana N. Kachalkina;;;;;;homepages/202/9716;17/07/2017;;;;;Home Page;;
5028116;Steve Schnick;;;;;;homepages/228/0040;16/10/2018;;;;;Home Page;;
5786009;Marcello Fiducioso;;;;;;homepages/243/7119;01/07/2019;;;;;Home Page;;
5990240;Curtis A. Carver;;;;;;homepages/50/2716;09/06/2009;;;;;Home Page;;
3192072;Adam Zienkiewicz;;;;;;homepages/132/9553;16/08/2013;;;;;Home Page;;
5881080;Jennie Roux;;;;;;homepages/07/1783;09/06/2009;;;;;Home Page;;
5394586;Selvakumaran Mannappan;;;;;;homepages/29/3135;09/06/2009;;;;;Home Page;;
4361210;Qingfeng Zhong;;;;;;homepages/73/2026;09/06/2009;;;;;Home Page;;
3137057;Rafik Sakhraoui;;;;;;homepages/143/8260;02/04/2014;;;;;Home Page;;
4950311;Tsong-Chiang Lee;;;;;;homepages/47/4305;10/06/2009;;;;;Home Page;;
3525251;Ruoxu Cen;;;;;;homepages/255/9278;08/01/2020;;;;;Home Page;;
3699419;Natascha Hoebel;;;;;;homepages/65/2646;09/06/2009;;;;;Home Page;;
3787343;Peter Kitak;;;;;;homepages/240/7255;13/05/2019;;;;;Home Page;;
4971652;Thierry Touya;;;;;;homepages/183/1091;16/07/2016;;;;;Home Page;;
5328446;Danny J. A. Lemmers;;;;;;homepages/329/1182;22/09/2022;;;;;Home Page;;
3240168;Guijuan Jia;;;;;;homepages/146/1795;03/06/2014;;;;;Home Page;;
4492146;Takahiro Nishizawa;;;;;;homepages/89/2735;09/06/2009;;;;;Home Page;;
4668737;Feng Liu 0005;;;;;;homepages/77/1318-5;26/03/2021;The University of Queensland, School of Information Technology and Electrical Engineering, Brisbane, QLD, Australia;;affiliation;;Home Page;http://researchers.uq.edu.au/researcher/951|https://orcid.org/0000-0002-1074-2601|https://scholar.google.com/citations?user=cpUKNrMAAAAJ|https://www.wikidata.org/entity/Q57564218;
5273878;Felix Flöter;;;;;;homepages/191/6156;16/12/2016;;;;;Home Page;;
3400125;Jasmina Panovska-Griffiths;;;;;;homepages/311/6865;23/01/2022;;;;;Home Page;;
4343942;Moritz Schulze Darup;;;;;;homepages/75/11046;08/03/2012;;;;;Home Page;;
4430813;Richard Groult;;;;;;homepages/01/5660;10/06/2009;;;;;Home Page;;
3294635;K. Aßmann;;;;;;homepages/32/1452;09/06/2009;;;;;Home Page;;
4972596;Rolando R. Lansigan;;;;;;homepages/183/9505;08/08/2016;;;;;Home Page;;
4306202;Oksana Piankova;;;;;;homepages/306/5263;18/11/2021;;;;;Home Page;;
5899670;Kevin Gohon;;;;;;homepages/221/2159;18/06/2018;;;;;Home Page;;
3911414;Shengkui Zhao;;;;;;homepages/48/1104;09/06/2009;;;;;Home Page;;
3745101;Rita Barraza;;;;;;homepages/247/3168;21/08/2019;;;;;Home Page;;
4353624;Dominique Tramesel;;;;;;homepages/73/5254;10/06/2009;;;;;Home Page;;
6156283;Jifei Pan;;;;;;homepages/230/2944;22/11/2018;;;;;Home Page;;
5741029;Aina Qin;;;;;;homepages/03/3753;10/06/2009;;;;;Home Page;;
3619847;R. Scott Fetherston;;;;;;homepages/99/5540;10/06/2009;;;;;Home Page;;
5505898;Blanca Alvarez Lopez;;;;;;homepages/317/0143;28/03/2022;;;;;Home Page;;
4676834;Chakrapani Cherukuri;;;;;;homepages/59/6902;10/06/2009;;;;;Home Page;;
5491279;Bogi Andersen;;;;;;homepages/66/7102;30/06/2009;;;;;Home Page;;
4997604;Rob Gregory;;;;;;homepages/283/1907;19/01/2021;;;;;Home Page;;
4469216;Subin Moon;;;;;;homepages/261/2421;23/03/2020;;;;;Home Page;;
4045800;Zhengyang Xu;;;;;;homepages/275/5327;01/10/2020;;;;;Home Page;;
3159950;Xiaobo Deng;;;;;;homepages/17/7194;30/07/2009;;;;;Home Page;;
4586110;Shih-Hsuan Chen;;;;;;homepages/164/3531;26/06/2015;;;;;Home Page;;
4890081;Volodymyr Pilinsky;;;;;;homepages/331/1339;13/10/2022;;;;;Home Page;;
4559817;Janine A. Higgins;;;;;;homepages/229/1093;03/11/2018;;;;;Home Page;;
4621625;Feng-You Liu;;;;;;homepages/242/8279;13/06/2019;;;;;Home Page;;
5996176;Craig A. Beers;;;;;;homepages/125/4719;06/02/2013;;;;;Home Page;;
5233582;Mariangela De Marco;;;;;;homepages/74/10319;25/10/2011;;;;;Home Page;;
4846137;Semih Yalçindag;;;;;;homepages/123/5760;17/03/2022;;;;;Home Page;;
3440626;J. Purdy;;;;;;homepages/57/1904;09/06/2009;;;;;Home Page;;
5306908;Zach Roberts;;;;;;homepages/131/9117;28/06/2016;California State University Long Beach, CA, USA;;affiliation;;Home Page;;
4193692;Allen D. McHugh;;;;;;homepages/234/9966;05/02/2019;;;;;Home Page;;
4010964;Andre Heinzig;;;;;;homepages/144/4719;24/04/2014;;;;;Home Page;;
3179619;Dong Chen 0005;;;;;;homepages/44/3371-5;13/07/2018;IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA;;affiliation;;Home Page;;
3883616;Yanisa Mahayossanunt;;;;;;homepages/257/7415;05/02/2020;;;;;Home Page;;
4806166;Yinshen Huang;;;;;;homepages/322/7380;23/06/2022;;;;;Home Page;;
3209992;Panagiotis Peristerakis;;;;;;homepages/254/7813;11/12/2019;;;;;Home Page;;
3953954;Yasmine Beck;;;;;;homepages/305/5802;09/11/2021;;;;;Home Page;;
5706804;Felix A. Klein;;;;;;homepages/168/5747;28/09/2015;;;;;Home Page;;
4189910;Chi-Hoi Lau;;;;;;homepages/67/2612;09/06/2009;;;;;Home Page;;
3368248;Sahil Saroop;;;;;;homepages/213/2318;23/01/2018;;;;;Home Page;;
4445003;Kuokuo Zhang;;;;;;homepages/314/6239;02/03/2022;;;;;Home Page;;
4967224;Ashley Cooper;;;;;;homepages/183/6306;02/08/2016;;;;;Home Page;;
5860329;Johannes Kuhn;;;;;;homepages/192/1290;02/01/2017;;;;;Home Page;;
4568161;Yuan-Jang Jiang;;;;;;homepages/279/5380;27/11/2020;;;;;Home Page;;
5186405;Oren Zonensain;;;;;;homepages/241/8372;31/05/2019;;;;;Home Page;;
3849624;Keerthi Koneru;;;;;;homepages/187/1007;06/10/2016;;;;;Home Page;;
4972035;Ibrahim Kutbi;;;;;;homepages/183/7085;02/08/2016;;;;;Home Page;;
3452476;Xin Yu;;;;;;homepages/54/1184;11/07/2019;;;;disambiguation;Home Page;;
6169400;Pei-Ru Wu;;;;;;homepages/307/3117;26/11/2021;;;;;Home Page;;
5535244;Sylvia C. Boyd;;;;;;homepages/b/SylviaCBoyd;19/05/2021;University of Ottawa, Ontario, Canada;;affiliation;;Home Page;http://www.csi.uottawa.ca/~sylvia/|https://orcid.org/0000-0001-7884-0219;
3715131;Carlos A. de los Santos;;;;;;homepages/71/9876;14/07/2011;;;;;Home Page;;
6016135;Mohammad Marufur Rahman;;;;;;homepages/270/7037;27/07/2020;;;;;Home Page;;
4652249;Robert Roeder;;;;;;homepages/80/9628;24/05/2011;;;;;Home Page;;
4575424;Angeliki C. Epistatou;;;;;;homepages/279/2716;24/11/2020;;;;;Home Page;;
4520197;Vishnu G. Nair;;;;;;homepages/263/1601;20/04/2020;;;;;Home Page;;
4707440;Alpo Värri;;;;;;homepages/42/201;08/06/2009;;;;;Home Page;;
5574869;Diogo Temporão;;;;;;homepages/266/0315;27/05/2020;;;;;Home Page;;
4473278;Catalin Vrabie;;;;;;homepages/226/3589;13/09/2018;;;;;Home Page;;
4194991;Boris Belozerov;;;;;;homepages/234/8510;02/02/2019;;;;;Home Page;;
4951338;W. Y. Chen;;;;;;homepages/47/673;09/06/2009;;;;;Home Page;;
3777429;Daniela S. Klobassa;;;;;;homepages/116/3400;01/07/2012;;;;;Home Page;;
3885972;Guohe Hou;;;;;;homepages/257/4710;02/02/2020;;;;;Home Page;;
3771757;Boróka Pápay;;;;;;homepages/216/7245;22/03/2018;;;;;Home Page;;
4223562;Wei Gong 0003;;;;;;homepages/11/3249-3;16/01/2020;University of Chinese Academy of Sciences, Research Center of Ubiquitous Sensor Networks, China;;affiliation;;Home Page;https://orcid.org/0000-0003-4030-4968;
3096641;Thomas B. Stephens;;;;;;homepages/31/2545;09/06/2009;;;;;Home Page;;
5940833;Wenbin Teng;;;;;;homepages/308/6056;13/12/2021;;;;;Home Page;;
3980502;Igor Ayesta;;;;;;homepages/289/0161;07/04/2021;;;;;Home Page;;
5259518;J. Vinar;;;;;;homepages/19/4454;10/06/2009;;;;;Home Page;;
6114921;Nicholas N. Vakhania;;;;;;homepages/v/NNVakhania;31/08/2019;;;;;Home Page;http://www.acnet.ge/pl/vakhania.htm|https://zbmath.org/authors/?q=ai:vakhania.nicholas-n;
4278760;Zhen-Yu Xu;;;;;;homepages/82/10115;14/09/2011;;;;;Home Page;;
5357715;Angel Estopanan;;;;;;homepages/220/6384;07/06/2018;;;;;Home Page;;
5542010;Osamu Kusakari;;;;;;homepages/172/0073;30/11/2015;;;;;Home Page;;
4588273;Rajakumar Sundaram;;;;;;homepages/159/6591;09/03/2015;;;;;Home Page;;
3740443;Colin Monroe;;;;;;homepages/247/3205;21/08/2019;;;;;Home Page;;
3890926;A. V. S. K. Mohan Katta;;;;;;homepages/13/3530;10/06/2009;;;;;Home Page;;
4625772;Chenchen Qi;;;;;;homepages/299/3307;12/08/2021;;;;;Home Page;;
4313672;Esraa Jalal Abu Fannas;;;;;;homepages/271/9936;10/08/2020;;;;;Home Page;;
3549553;P. J. Kurian;;;;;;homepages/34/11190;19/04/2012;;;;;Home Page;;
5070326;Stevo Todorcevic;;;;;;homepages/10/349;14/07/2020;Stevo Todorčević|University of Toronto, Department of Mathematics, Canada;;affiliation|uname;;Home Page;https://d-nb.info/gnd/115235620|https://en.wikipedia.org/wiki/Stevo_Todor%C4%8Devi%C4%87|https://id.loc.gov/authorities/names/n87874475|https://mathgenealogy.org/id.php?id=5074|https://www.wikidata.org/entity/Q3784747|https://zbmath.org/authors/?q=ai:todorcevic.stevo-b;
4021784;Richard Vithal;;;;;;homepages/288/0126;23/03/2021;;;;;Home Page;;
4831022;Kyungha Kim;;;;;;homepages/284/7683;08/02/2021;;;;;Home Page;;
4743131;Heli Hallikainen;;;;;;homepages/177/4673;17/03/2016;;;;;Home Page;;
5288692;Dallas E. Kroon;;;;;;homepages/41/5190;10/06/2009;;;;;Home Page;;
5258996;Xiaoqiong Wang;;;;;;homepages/19/10177;23/09/2011;;;;;Home Page;;
6140052;Shih Ling Kao;;;;;;homepages/178/9930;25/04/2016;;;;;Home Page;;
3689297;Dewei Chen;;;;;;homepages/65/4007;10/06/2009;;;;;Home Page;;
6109908;Jerry Andriessen;;;;;;homepages/96/6970;10/06/2009;;;;;Home Page;;
3935450;David Sheard;;;;;;homepages/313/1337;09/02/2022;;;;;Home Page;;
4906461;Vincenzo Vellucci;;;;;;homepages/233/5852;17/01/2019;;;;;Home Page;;
6023452;Riccardo Raspadori;;;;;;homepages/166/4378;06/08/2015;;;;;Home Page;;
5265406;Chang Feng;;;;;;homepages/19/421;09/06/2009;;;;;Home Page;;
4979818;Thomas R. Unnasch;;;;;;homepages/63/4642;10/06/2009;;;;;Home Page;;
4825646;P. Ashik Sheik;;;;;;homepages/284/7432;08/02/2021;;;;;Home Page;;
3660080;Tibor Stolz;;;;;;homepages/269/5468;13/07/2020;;;;;Home Page;;
4146159;Andreas Drakos;;;;;;homepages/21/215;08/06/2009;;;;;Home Page;;
