7333957;;;MuC;;;Jan O. Borchers|Matthias Jarke|Wolfgang Prinz;;https://dl.gi.de/handle/20.500.12116/162;;;;;;conf/mc/2016;29/09/2022;;;;;Gesellschaft für Informatik e.V.;;;;;;;;Mensch und Computer 2016 - Tagungsband, Aachen, Germany, September 4-7, 2016;db/conf/mc/mc2016.html;;2016
9357544;;;ACL;;;;;https://aclanthology.org/P02-1000/|https://aclanthology.org/volumes/P02-1/;oa|oa;;;;;conf/acl/2002;06/08/2021;;;;;ACL;;;;;;;;Proceedings of the 40th Annual Meeting of the Association for Computational Linguistics, July 6-12, 2002, Philadelphia, PA, USA.;db/conf/acl/acl2002.html;;2002
7456120;;;SumPre@ESWC;;;Andreas Thalhammer 0001|Gong Cheng 0001|Kalpa Gunaratna;;http://ceur-ws.org/Vol-1605|https://nbn-resolving.org/urn:nbn:de:0074-1605-7;oa;;;;;conf/esws/2016sumpre;12/02/2020;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Proceedings of the 2nd International Workshop on Summarizing and Presenting Entities and Ontologies (SumPre 2016) co-located with the 13th Extended Semantic Web Conference (ESWC 2016), Anissaras, Greece, May 30, 2016.;db/conf/esws/sumpre2016.html;1605;2016
7676334;;;FRUCT;;;;;https://ieeexplore.ieee.org/xpl/conhome/6862737/proceeding;;;978-5-7577-0463-0;;;conf/fruct/2014-1;16/10/2019;;;;;IEEE;;;;;;;;Proceedings of 15th Conference of Open Innovations Association FRUCT, St. Petersburg, Russia, April 21-25, 2014;db/conf/fruct/fruct2014-1.htmll;;2014
7337535;;;ANRW@SIGCOMM;;;;;https://doi.org/10.1145/3547115;;;978-1-4503-9444-4;;;conf/sigcomm/2022anrw;23/08/2022;;;;;ACM;;;;;;;;ANRW '22: Applied Networking Research Workshop, Philadelphia, Pennsylvania, 26 July 2022;db/conf/sigcomm/anrw2022.html;;2022
7391861;;;ICLP;;;Pascal Van Hentenryck;;;;;0-262-72022-1;;;conf/iclp/1994;29/11/2013;;;;;MIT Press;;;;;;;;Logic Programming, Proceedings of the Eleventh International Conference on Logic Programming, Santa Marherita Ligure, Italy, June 13-18, 1994;db/conf/iclp/iclp94.html;;1994
6358121;;;ISMB;;;David B. Searls|Douglas L. Brutlag|Peter D. Karp|Richard H. Lathrop|Russ B. Altman;;;;;0-929280-68-7;;;conf/ismb/1994;01/07/2003;;;;;AAAI;;;;;;;;Proceedings of the Second International Conference on Intelligent Systems for Molecular Biology, August 14-17, 1994, Stanford University, Stanford, California, USA;db/conf/ismb/ismb1994.html;;1994
8371643;;;CoDIT;;;;;https://ieeexplore.ieee.org/xpl/conhome/9263400/proceeding;;;978-1-7281-5953-9;;;conf/codit/2020;02/12/2020;;;;;IEEE;;;;;;;;7th International Conference on Control, Decision and Information Technologies, CoDIT 2020, Prague, Czech Republic, June 29 - July 2, 2020;db/conf/codit/codit2020.html;;2020
8137745;;;ICPP Workshops;;;;;https://ieeexplore.ieee.org/xpl/conhome/8024228/proceeding|https://www.computer.org/csdl/proceedings/icppw/2017/1044/00/index.html;;;978-1-5386-1044-2;;;conf/icppw/2017;16/10/2019;;;;;IEEE Computer Society;;;;;;;;46th International Conference on Parallel Processing Workshops, ICPP Workshops 2017, Bristol, United Kingdom, August 14-17, 2017;db/conf/icppw/icppw2017.html;;2017
8359754;;;CFP;;;Lance J. Hoffman;;https://doi.org/10.1145/142652;;;978-0-89791-553-3;;;conf/cfp/1992;20/05/2022;;;;;ACM;;;;;;;;Proceedings of the Second Conference on Computers, Freedom and Privacy, CFP 1992, Washington, D.C., USA, March 18-20, 1992;db/conf/cfp/cfp1992.html;;1992
6528483;;;Advanced Topics in Artificial Intelligence;;;Olga Stepánková|Robert Trappl|Vladimír Marík;;https://doi.org/10.1007/3-540-55681-8;;;3-540-55681-8;;;conf/ac/1992ai;14/05/2019;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Advanced Topics in Artificial Intelligence, International Summer School, Prague, Czechoslovakia, July 6-17, 1992, Proceedings;db/conf/ac/ai1992.html;617;1992
